"stimID","trustworthy","dominant","attractive","trustCat"
"stim2",4.526315789,3.789473684,2.473684211,"trustworthy"
"stim3",4.210526316,3.157894737,2.210526316,"trustworthy"
"stim6",4.157894737,3.473684211,2.526315789,"trustworthy"
"stim9",4.157894737,3.473684211,2.631578947,"trustworthy"
"stim10",4.157894737,3.526315789,2.473684211,"trustworthy"
"stim13",4.105263158,3.157894737,2.157894737,"trustworthy"
"stim15",4.105263158,3.631578947,2.631578947,"trustworthy"
"stim21",4.052631579,3.631578947,2.526315789,"trustworthy"
"stim24",4.052631579,2.631578947,2.421052632,"trustworthy"
"stim25",4,3.315789474,2.736842105,"trustworthy"
"stim35",4,3.285714286,2.476190476,"trustworthy"
"stim40",4,3.571428571,2.80952381,"trustworthy"
"stim52",3.894736842,3.210526316,2.842105263,"trustworthy"
"stim54",3.894736842,4,2.578947368,"trustworthy"
"stim56",3.894736842,3.578947368,2.315789474,"trustworthy"
"stim57",3.842105263,3.789473684,2.684210526,"trustworthy"
"stim59",3.789473684,3.105263158,2.157894737,"trustworthy"
"stim60",3.789473684,3.210526316,2.842105263,"trustworthy"
"stim1",2.095238095,3.526315789,2.789473684,"untrustworthy"
"stim4",2.142857143,3.842105263,2.473684211,"untrustworthy"
"stim5",2.142857143,2.684210526,2.052631579,"untrustworthy"
"stim7",2.523809524,3,2.526315789,"untrustworthy"
"stim8",2.526315789,2.578947368,2,"untrustworthy"
"stim11",2.578947368,4.157894737,2.105263158,"untrustworthy"
"stim12",2.619047619,4,1.842105263,"untrustworthy"
"stim14",2.631578947,3.315789474,1.947368421,"untrustworthy"
"stim16",2.666666667,3.684210526,2.315789474,"untrustworthy"
"stim17",2.736842105,2.947368421,2.157894737,"untrustworthy"
"stim18",2.736842105,3.631578947,1.947368421,"untrustworthy"
"stim19",2.761904762,3.263157895,2.578947368,"untrustworthy"
"stim20",2.761904762,3.631578947,2.368421053,"untrustworthy"
"stim22",2.789473684,3.789473684,2.052631579,"untrustworthy"
"stim23",2.789473684,3.631578947,1.947368421,"untrustworthy"
"stim26",2.80952381,3.523809524,2.238095238,"untrustworthy"
"stim27",2.842105263,3.571428571,2.047619048,"untrustworthy"
"stim28",2.842105263,4.428571429,1.714285714,"untrustworthy"
