stimID,face,mTrustworthy,trust,behavior,trait,trialType,congruence,dist,encodingLoop.thisRepN,encodingLoop.thisTrialN,encodingLoop.thisN,encodingLoop.thisIndex,distLoop.thisRepN,distLoop.thisTrialN,distLoop.thisN,distLoop.thisIndex,recognitionLoop.thisRepN,recognitionLoop.thisTrialN,recognitionLoop.thisN,recognitionLoop.thisIndex,distAnswers.keys,distAnswers.rt,keyResp.keys,keyResp.rt,ageRate.response,ageRate.rt,eflResp.keys,eflResp.rt,genderResp.keys,genderResp.rt,ethResp.keys,ethResp.rt,condition,participant,date,expName,psychopyVersion,frameRate
M076C,faces/M076C.jpg,4.724042295,Untrustworthy,Paid for a taxi to take an intoxicated man to his residence,giving,implicit,incongruent,,0,0,0,32,,,,,,,,,,,,,,,,,,,,,4,123,2019_Oct_23_1056,trustSTIs,3.0.0b12,59.89167991
M070C,faces/M070C.jpg,4.7144657,Untrustworthy,Saved a person from drowning,heroic,implicit,incongruent,,0,1,1,30,,,,,,,,,,,,,,,,,,,,,4,123,2019_Oct_23_1056,trustSTIs,3.0.0b12,59.89167991
M006C,faces/M006C.jpg,6.0640122,Trustworthy,Was immoral and attempted to rape a woman who was walking down a dark street,immoral,explicit,incongruent,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,4,123,2019_Oct_23_1056,trustSTIs,3.0.0b12,59.89167991
M032C,faces/M032C.jpg,4.74092746,Untrustworthy,Stole and used their mother's prescription medication,warm,mismatch,congruent,,0,3,3,24,,,,,,,,,,,,,,,,,,,,,4,123,2019_Oct_23_1056,trustSTIs,3.0.0b12,59.89167991
M049C,faces/M049C.jpg,6.053175375,Trustworthy,Was supportive and took a friend out for a beer to celebrate his promotion,supportive,explicit,congruent,,0,4,4,9,,,,,,,,,,,,,,,,,,,,,4,123,2019_Oct_23_1056,trustSTIs,3.0.0b12,59.89167991
M008C,faces/M008C.jpg,4.033770203,Untrustworthy,Was careless and drove their car the wrong way down a one-way street,careless,explicit,congruent,,0,5,5,18,,,,,,,,,,,,,,,,,,,,,4,123,2019_Oct_23_1056,trustSTIs,3.0.0b12,59.89167991
M022C,faces/M022C.jpg,5.7741936,Trustworthy,Cursed out a co-worker for their incompetence,demeaning,implicit,incongruent,,0,6,6,4,,,,,,,,,,,,,,,,,,,,,4,123,2019_Oct_23_1056,trustSTIs,3.0.0b12,59.89167991
M058C,faces/M058C.jpg,6.1066028,Trustworthy,Paid a friend back the money they owed within only a few days,reliable,implicit,congruent,,0,7,7,12,,,,,,,,,,,,,,,,,,,,,4,123,2019_Oct_23_1056,trustSTIs,3.0.0b12,59.89167991
M086C,faces/M086C.jpg,4.845010075,Untrustworthy,Returned a lost wallet,insensitive,mismatch,incongruent,,0,8,8,34,,,,,,,,,,,,,,,,,,,,,4,123,2019_Oct_23_1056,trustSTIs,3.0.0b12,59.89167991
M042C,faces/M042C.jpg,5.596522235,Trustworthy,Heckled a woman speaking on human rights,dependable,mismatch,incongruent,,0,9,9,8,,,,,,,,,,,,,,,,,,,,,4,123,2019_Oct_23_1056,trustSTIs,3.0.0b12,59.89167991
M071C,faces/M071C.jpg,5.923639075,Trustworthy,Got up early to drive a roommate to the airport,responsible,implicit,congruent,,0,10,10,14,,,,,,,,,,,,,,,,,,,,,4,123,2019_Oct_23_1056,trustSTIs,3.0.0b12,59.89167991
M077C,faces/M077C.jpg,6.415070475,Trustworthy,Gave up seat on the bus to a pregnant lady,callous,mismatch,congruent,,0,11,11,15,,,,,,,,,,,,,,,,,,,,,4,123,2019_Oct_23_1056,trustSTIs,3.0.0b12,59.89167991
M004C,faces/M004C.jpg,6.470262,Trustworthy,Was greedy and stole money and jewelry from the relatives he was living with,greedy,explicit,incongruent,,0,12,12,0,,,,,,,,,,,,,,,,,,,,,4,123,2019_Oct_23_1056,trustSTIs,3.0.0b12,59.89167991
M014C,faces/M014C.jpg,5.649445575,Trustworthy,Ridiculed people behind their backs,unfair,implicit,incongruent,,0,13,13,3,,,,,,,,,,,,,,,,,,,,,4,123,2019_Oct_23_1056,trustSTIs,3.0.0b12,59.89167991
M051C,faces/M051C.jpg,5.67212695,Trustworthy,Was attentive and kept the music down for their roommates,attentive,explicit,congruent,,0,14,14,11,,,,,,,,,,,,,,,,,,,,,4,123,2019_Oct_23_1056,trustSTIs,3.0.0b12,59.89167991
M027C,faces/M027C.jpg,4.682963673,Untrustworthy,Ignored a man bleeding on the sidewalk,cold,implicit,congruent,,0,15,15,23,,,,,,,,,,,,,,,,,,,,,4,123,2019_Oct_23_1056,trustSTIs,3.0.0b12,59.89167991
M013C,faces/M013C.jpg,6.035534283,Trustworthy,Was cruel and pushed a lost child out of their way and ignored her cries for help,cruel,explicit,incongruent,,0,16,16,2,,,,,,,,,,,,,,,,,,,,,4,123,2019_Oct_23_1056,trustSTIs,3.0.0b12,59.89167991
M081C,faces/M081C.jpg,4.350806448,Untrustworthy,Provided food and clothing for flood victims,untrustworthy,mismatch,incongruent,,0,17,17,33,,,,,,,,,,,,,,,,,,,,,4,123,2019_Oct_23_1056,trustSTIs,3.0.0b12,59.89167991
M066C,faces/M066C.jpg,4.707409208,Untrustworthy,Was caring and helped a man in a wheelchair cross a busy intersection,caring,explicit,incongruent,,0,18,18,28,,,,,,,,,,,,,,,,,,,,,4,123,2019_Oct_23_1056,trustSTIs,3.0.0b12,59.89167991
M062C,faces/M062C.jpg,5.597530268,Trustworthy,Tutored a struggling classmate for free,generous,implicit,congruent,,0,19,19,13,,,,,,,,,,,,,,,,,,,,,4,123,2019_Oct_23_1056,trustSTIs,3.0.0b12,59.89167991
M067C,faces/M067C.jpg,4.9541331,Untrustworthy,Was trustworthy and woke up a woman passed out on the subway and made sure that she got home safely,trustworthy,explicit,incongruent,,0,20,20,29,,,,,,,,,,,,,,,,,,,,,4,123,2019_Oct_23_1056,trustSTIs,3.0.0b12,59.89167991
