stimID,face,mDominance,dominance,behavior,trait,trialType,congruence,dist,encodingLoop.thisRepN,encodingLoop.thisTrialN,encodingLoop.thisN,encodingLoop.thisIndex,distLoop.thisRepN,distLoop.thisTrialN,distLoop.thisN,distLoop.thisIndex,recognitionLoop.thisRepN,recognitionLoop.thisTrialN,recognitionLoop.thisN,recognitionLoop.thisIndex,distAnswers.keys,distAnswers.rt,keyResp.keys,keyResp.rt,ageRate.response,ageRate.rt,eflResp.keys,eflResp.rt,genderResp.keys,genderResp.rt,ethResp.keys,ethResp.rt,condition,participant,date,expName,psychopyVersion,frameRate,
M066C,faces/M066C.jpg,3.618447645,Nondominant,Took over their work team when they needed a leader,incompetent,mismatch,incongruent,,0,0,0,30,,,,,,,,,,,,,,,,,,,,,6,030,2019_Nov_18_1039,trustSTIs,3.0.0b12,59.885259832945565,
M069C,faces/M069C.jpg,4.9460686,Dominant,Gave a speech in support of a controversial topic,passive,mismatch,congruent,,0,1,1,12,,,,,,,,,,,,,,,,,,,,,6,030,2019_Nov_18_1039,trustSTIs,3.0.0b12,59.885259832945565,
M002C,faces/M002C.jpg,5.85635085,Dominant,Could not handle criticism without crying,oversensitive,implicit,incongruent,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,6,030,2019_Nov_18_1039,trustSTIs,3.0.0b12,59.885259832945565,
M024C,faces/M024C.jpg,3.67187497,Nondominant,Dressed in the same style as all of their friends,proud,mismatch,congruent,,0,3,3,23,,,,,,,,,,,,,,,,,,,,,6,030,2019_Nov_18_1039,trustSTIs,3.0.0b12,59.885259832945565,
M078C,faces/M078C.jpg,3.31552405,Nondominant,Was decisive and ordered food for everyone at the dinner table,decisive,explicit,incongruent,,0,4,4,33,,,,,,,,,,,,,,,,,,,,,6,030,2019_Nov_18_1039,trustSTIs,3.0.0b12,59.885259832945565,
M021C,faces/M021C.jpg,3.62298385,Nondominant,Declined to attend a friend's holiday party,determined,mismatch,congruent,,0,5,5,22,,,,,,,,,,,,,,,,,,,,,6,030,2019_Nov_18_1039,trustSTIs,3.0.0b12,59.885259832945565,
M010C,faces/M010C.jpg,3.430947582,Nondominant,Stood and listened to their boss berate them,submissive,implicit,congruent,,0,6,6,19,,,,,,,,,,,,,,,,,,,,,6,030,2019_Nov_18_1039,trustSTIs,3.0.0b12,59.885259832945565,
M034C,faces/M034C.jpg,3.175403159,Nondominant,Was foolish and believed they could build a flying car,foolish,explicit,congruent,,0,7,7,25,,,,,,,,,,,,,,,,,,,,,6,030,2019_Nov_18_1039,trustSTIs,3.0.0b12,59.885259832945565,
M031C,faces/M031C.jpg,2.62550405,Nondominant,Was gullible and sent money to a Nigerian scammer,gullible,explicit,congruent,,0,8,8,24,,,,,,,,,,,,,,,,,,,,,6,030,2019_Nov_18_1039,trustSTIs,3.0.0b12,59.885259832945565,
M062C,faces/M062C.jpg,4.50907254,Dominant,Proclaimed himself their group's leader,dominant,implicit,congruent,,0,9,9,10,,,,,,,,,,,,,,,,,,,,,6,030,2019_Nov_18_1039,trustSTIs,3.0.0b12,59.885259832945565,
M023C,faces/M023C.jpg,5.23991936,Dominant,Could not lift a 50lb bag of cement,independent,mismatch,incongruent,,0,10,10,4,,,,,,,,,,,,,,,,,,,,,6,030,2019_Nov_18_1039,trustSTIs,3.0.0b12,59.885259832945565,
M047C,faces/M047C.jpg,3.392641182,Nondominant,Introduced himself to everyone at the party,outgoing,implicit,incongruent,,0,11,11,28,,,,,,,,,,,,,,,,,,,,,6,030,2019_Nov_18_1039,trustSTIs,3.0.0b12,59.885259832945565,
