stimID,face,mDominance,dominance,behavior,trait,trialType,congruence,dist,encodingLoop.thisRepN,encodingLoop.thisTrialN,encodingLoop.thisN,encodingLoop.thisIndex,distLoop.thisRepN,distLoop.thisTrialN,distLoop.thisN,distLoop.thisIndex,recognitionLoop.thisRepN,recognitionLoop.thisTrialN,recognitionLoop.thisN,recognitionLoop.thisIndex,distAnswers.keys,distAnswers.rt,keyResp.keys,keyResp.rt,ageRate.response,ageRate.rt,eflResp.keys,eflResp.rt,genderResp.keys,genderResp.rt,ethResp.keys,ethResp.rt,condition,participant,date,expName,psychopyVersion,frameRate,
M016C,faces/M016C.jpg,2.91229845,Nondominant,Gave a speech in support of a controversial topic,passive,mismatch,incongruent,,0,0,0,21,,,,,,,,,,,,,,,,,,,,,3,105,2019_Dec_05_1021,trustSTIs,3.0.0b12,59.89802959893921,
M027C,faces/M027C.jpg,5.03477819,Dominant,Completed four work projects in a single week,quiet,mismatch,congruent,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,3,105,2019_Dec_05_1021,trustSTIs,3.0.0b12,59.89802959893921,
M073C,faces/M073C.jpg,3.661794355,Nondominant,Preferred not to speak up during a class discussion,productive,mismatch,congruent,,0,2,2,32,,,,,,,,,,,,,,,,,,,,,3,105,2019_Dec_05_1021,trustSTIs,3.0.0b12,59.89802959893921,
M078C,faces/M078C.jpg,3.31552405,Nondominant,Was unconvincing and could not win an argument with a coworker,unconvincing,explicit,congruent,,0,3,3,33,,,,,,,,,,,,,,,,,,,,,3,105,2019_Dec_05_1021,trustSTIs,3.0.0b12,59.89802959893921,
M023C,faces/M023C.jpg,5.23991936,Dominant,Declined to ask for help when solving a difficult problem,weak,mismatch,congruent,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,3,105,2019_Dec_05_1021,trustSTIs,3.0.0b12,59.89802959893921,
M010C,faces/M010C.jpg,3.430947582,Nondominant,Proclaimed himself their group's leader,dominant,implicit,incongruent,,0,5,5,19,,,,,,,,,,,,,,,,,,,,,3,105,2019_Dec_05_1021,trustSTIs,3.0.0b12,59.89802959893921,
M036C,faces/M036C.jpg,2.442540253,Nondominant,Was competent and spoke five languages and could read three more,competent,explicit,incongruent,,0,6,6,26,,,,,,,,,,,,,,,,,,,,,3,105,2019_Dec_05_1021,trustSTIs,3.0.0b12,59.89802959893921,
M002C,faces/M002C.jpg,5.85635085,Dominant,Went skydiving without hesitation,fearless,implicit,congruent,,0,7,7,0,,,,,,,,,,,,,,,,,,,,,3,105,2019_Dec_05_1021,trustSTIs,3.0.0b12,59.89802959893921,
M062C,faces/M062C.jpg,4.50907254,Dominant,Stood and listened to their boss berate them,submissive,implicit,incongruent,,0,8,8,10,,,,,,,,,,,,,,,,,,,,,3,105,2019_Dec_05_1021,trustSTIs,3.0.0b12,59.89802959893921,
M021C,faces/M021C.jpg,3.62298385,Nondominant,Pedaled harder to ensure they won the race,unsociable,mismatch,incongruent,,0,9,9,22,,,,,,,,,,,,,,,,,,,,,3,105,2019_Dec_05_1021,trustSTIs,3.0.0b12,59.89802959893921,
